,200,300,500,750,1000,2000,3000,5000
1,5.714311,5.624989,5.681830,5.681819,5.649716,5.649718,5.649717,5.649718
2,9.999533,11.250145,10.869564,11.249957,10.989001,11.235957,11.207970,11.215791
4,20.001450,22.500290,22.727442,23.437569,22.727319,22.727257,22.670021,22.706629
8,20.001450,29.999790,31.249471,40.178747,41.666789,43.956005,43.269242,43.252590
